,R2_adj,RMSE,MAE
Original,0.013435489788911403,2331.782556260395,20.70311001171678
W/o Redundant,0.01341699303413979,2331.9662480047705,20.70481645371022
W/o Location Eng,0.01299635513056474,2333.1472128126256,20.70491890244613
W/o Time Eng,0.012954995272060899,2333.478381281487,20.709338560932792
W/o Label Enc,0.012919574045999527,2333.702165328744,20.706098943291604
"6. X_stscaled_non_corr, y_log_tr",-0.06370878151130022,2283.9893249580255,13.47440707425218
"W/o Low p-v, y",0.014319300467000806,2117.295646008968,20.240501423483657
"Poly(2), y",0.01637748665070038,2103.145598483079,20.190637592940853
"Poly(3), y",0.017892866718018374,2065.0619041892396,20.147196905280033
